epochs,d_hidden,wd,noise_std,kernel_size,final_train_acc,final_val_acc
20,128,0.1,0.25,14,0.9929451778017241,0.9869999885559082
20,256,0.5,0.25,7,0.9949656519396551,0.9868999719619751
20,256,1.0,0.25,14,0.994207974137931,0.9868999719619751
20,128,0.5,0.25,7,0.9931303879310345,0.9868999719619751
20,256,0.0,0.5,14,0.9810075431034483,0.9868999719619751
20,256,0.1,0.5,14,0.9809065193965517,0.9868999719619751
20,256,0.5,0.5,14,0.9808728448275862,0.9868999719619751
20,256,1.0,0.5,14,0.9806034482758621,0.9868999719619751
20,128,0.0,0.25,14,0.9932145743534483,0.986799955368042
20,128,0.5,0.25,14,0.9923558728448276,0.986799955368042
20,256,0.0,0.25,7,0.9954876077586207,0.9866999983787537
20,256,0.1,0.25,7,0.9954034213362069,0.9866999983787537
20,128,1.0,0.25,7,0.9925074084051724,0.9866999983787537
20,256,0.0,0.25,14,0.9955044450431034,0.9865999817848206
20,256,0.5,0.25,14,0.9948814655172413,0.9865999817848206
20,256,1.0,0.25,7,0.9945952316810345,0.9865999817848206
20,256,0.0,0.25,5,0.9942753232758621,0.9865999817848206
20,256,0.1,0.25,5,0.9942248114224138,0.9865999817848206
20,256,0.1,0.25,14,0.9953865840517241,0.9864999651908875
20,128,0.0,0.25,7,0.9936691810344828,0.9864999651908875
20,128,0.1,0.25,7,0.9935513200431034,0.9864999651908875
20,256,1.0,0.25,5,0.9933492726293104,0.9864999651908875
20,128,0.1,0.5,14,0.9792227909482759,0.9864999651908875
20,64,0.1,0.25,7,0.9911604256465517,0.9863999485969543
20,128,0.0,0.5,14,0.9792564655172413,0.9863999485969543
20,128,0.5,0.5,14,0.9789533943965517,0.9863999485969543
20,256,0.5,0.5,7,0.9780610183189655,0.9863999485969543
20,128,0.0,0.25,5,0.9927094558189655,0.986299991607666
20,256,0.1,0.5,7,0.9776737607758621,0.986299991607666
20,256,0.5,0.25,5,0.9939554148706896,0.9861999750137329
20,128,0.1,0.25,5,0.9926589439655172,0.9861999750137329
20,128,1.0,0.25,14,0.9916150323275862,0.9861999750137329
20,64,0.0,0.25,7,0.9913624730603449,0.9861999750137329
20,64,0.5,0.25,7,0.9904869342672413,0.9861999750137329
20,64,1.0,0.25,7,0.9897629310344828,0.9861999750137329
20,128,1.0,0.5,14,0.9785661368534483,0.9861999750137329
